rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
59,Very HHHazyyy,Tree House Brewing Company,IPA - New England,8.8,164,4.64,IPA,New England
60,Coconut Vibes,Shared Brewing,Stout - Russian Imperial,13.0,188,4.63,Stout,Russian Imperial
61,Flora Plum,Hill Farmstead Brewery,Farmhouse Ale - Saison,5.0,384,4.61,Farmhouse Ale,Saison
62,Ghost In The Machine - Double Dry-Hopped,Parish Brewing Company,IPA - New England,8.5,376,4.61,IPA,New England
63,Headroom,Trillium Brewing Company,IPA - New England,8.0,791,4.6,IPA,New England
64,Atrial Rubicite,Jester King Brewery,Wild Ale,5.8,1998,4.59,Wild Ale,
65,Double Galaxy,Hill Farmstead Brewery,IPA - New England,8.0,1673,4.59,IPA,New England
66,Double Dry Hopped Congress Street,Trillium Brewing Company,IPA - New England,7.2,1638,4.59,IPA,New England
67,Cable Car Kriek,The Lost Abbey,Wild Ale,7.0,170,4.62,Wild Ale,
68,King Sue,Toppling Goliath Brewing Company,IPA - New England,7.8,3401,4.58,IPA,New England
69,Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,Pale Ale - American,6.6,1769,4.58,Pale Ale,American
70,Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit,5.5,1431,4.58,Lambic,Fruit
71,Society & Solitude #4,Hill Farmstead Brewery,IPA - New England,8.0,1424,4.58,IPA,New England
72,Abricot Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,8.0,438,4.59,Farmhouse Ale,Saison
73,Cable Car,The Lost Abbey,Wild Ale,7.0,1150,4.58,Wild Ale,
74,Oude Geuze Vintage,Brouwerij 3 Fonteinen,Lambic - Gueuze,6.0,872,4.58,Lambic,Gueuze
75,Truth,Tree House Brewing Company,Stout - American Imperial,12.3,46,4.72,Stout,American Imperial
76,Zombie Dust,3 Floyds Brewing Co.,Pale Ale - American,6.5,11266,4.57,Pale Ale,American
77,I Let My Tape Rock,J. Wakefield Brewing,Stout - American Imperial,17.0,85,4.65,Stout,American Imperial
78,Hunahpu's Imperial Stout,Cigar City Brewing,Stout - American Imperial,10.2,4441,4.57,Stout,American Imperial
79,Beer Geek Vanilla Shake - Bourbon Barrel-Aged,Mikkeller ApS,Stout - American Imperial,13.0,577,4.58,Stout,American Imperial
80,Green,Tree House Brewing Company,IPA - New England,7.6,3389,4.57,IPA,New England
81,Haze,Tree House Brewing Company,IPA - New England,8.2,3150,4.57,IPA,New England
82,Doppelganger,Tree House Brewing Company,IPA - New England,8.2,2084,4.57,IPA,New England
83,Swish,Bissell Brothers Brewing Co.,IPA - New England,8.0,1691,4.57,IPA,New England
84,Medianoche Reserve (2021),WeldWerks Brewing Co.,Stout - American Imperial,,55,4.69,Stout,American Imperial
85,The Broken Truck,de Garde Brewing,Wild Ale,5.0,380,4.58,Wild Ale,
86,Triple Shot,Tree House Brewing Company,Stout - American Imperial,9.7,647,4.57,Stout,American Imperial
87,Sip Of Sunshine,Lawson's Finest Liquids,IPA - Imperial,8.0,6062,4.56,IPA,Imperial
88,The Peach,de Garde Brewing,Wild Ale,7.3,315,4.58,Wild Ale,
89,M.J.K.,Side Project Brewing,Barleywine - English,20.0,28,4.8,Barleywine,English
90,Focal Banger,The Alchemist,IPA - New England,7.0,4385,4.56,IPA,New England
91,Medianoche - Coconut,WeldWerks Brewing Co.,Stout - American Imperial,14.1,205,4.59,Stout,American Imperial
92,Citra,Kern River Brewing Company,IPA - Imperial,8.0,1882,4.56,IPA,Imperial
